id,Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Cient Type 
412,SV50502,Oregon,5595.84,No,Basic,Master,1/22/11,Employed,F,79189,Suburban,Married,69,6,97,0,4,Corporate Auto,Corporate L2,Offer4,Branch,331.2,Four-Door Car,Medsize,3
413,UK59698,California,2294.3,No,Basic,High School or Below,2/9/11,Unemployed,F,0,Suburban,Divorced,62,5,31,0,1,Personal Auto,Personal L3,Offer3,Branch,297.6,Two-Door Car,Medsize,1
414,OA57352,Arizona,6273.91,Yes,Extended,College,2/16/11,Retired,F,18577,Suburban,Divorced,86,21,76,0,6,Personal Auto,Personal L2,Offer1,Branch,412.8,Four-Door Car,Medsize,1
415,ZF84449,Oregon,3726.73,No,Basic,College,2/26/11,Unemployed,F,0,Suburban,Single,112,7,34,1,1,Special Auto,Special L1,Offer1,Agent,806.4,Sports Car,Medsize,1
416,VH31965,Washington,5285.12,No,Basic,Bachelor,1/24/11,Employed,M,40783,Suburban,Married,67,13,43,1,9,Personal Auto,Personal L1,Offer1,Call Center,321.6,Four-Door Car,Medsize,2
417,HG39060,Oregon,5110.68,No,Basic,Bachelor,1/28/11,Unemployed,M,0,Suburban,Single,74,34,51,0,4,Corporate Auto,Corporate L2,Offer1,Call Center,532.8,Four-Door Car,Medsize,1
418,EM29359,Nevada,7126.6,No,Basic,College,2/3/11,Medical Leave,M,17483,Suburban,Married,183,24,63,0,1,Personal Auto,Personal L1,Offer2,Web,1317.6,Luxury Car,Large,0
419,SF57173,Oregon,4601.63,No,Basic,Master,1/27/11,Employed,M,84394,Suburban,Married,114,9,38,0,1,Personal Auto,Personal L3,Offer4,Agent,691.41,SUV,Medsize,3
420,OT47603,Oregon,9155.24,No,Extended,College,2/4/11,Unemployed,M,0,Suburban,Married,127,3,93,0,3,Personal Auto,Personal L2,Offer2,Agent,804.81,Sports Car,Medsize,1
421,SW31412,Oregon,14808.06,No,Basic,College,2/22/11,Employed,F,41440,Suburban,Married,62,20,80,1,2,Personal Auto,Personal L3,Offer3,Agent,297.6,Four-Door Car,Small,2
422,JS36322,Arizona,8901.68,No,Extended,High School or Below,1/19/11,Unemployed,M,0,Suburban,Single,136,14,69,1,8,Personal Auto,Personal L3,Offer1,Agent,1090.86,Sports Car,Small,1
423,RE81445,Oregon,5734.6,No,Basic,College,1/5/11,Employed,F,98132,Rural,Married,71,10,61,0,3,Personal Auto,Personal L2,Offer3,Branch,50.59,Two-Door Car,Medsize,2
424,RM24280,Oregon,4177.7,No,Premium,High School or Below,2/3/11,Unemployed,F,0,Suburban,Married,112,4,49,0,1,Personal Auto,Personal L2,Offer3,Agent,537.6,Four-Door Car,Medsize,1
425,LC25393,California,27776.29,No,Extended,Bachelor,1/18/11,Employed,M,88220,Rural,Married,230,28,63,0,2,Personal Auto,Personal L3,Offer1,Call Center,151.53,Luxury Car,Small,0
426,UX38930,Arizona,10364.35,No,Extended,Master,1/9/11,Employed,F,58327,Urban,Married,129,31,5,0,3,Personal Auto,Personal L3,Offer2,Branch,347.08,SUV,Medsize,3
427,HD95496,Oregon,7851.9,No,Basic,Master,2/3/11,Employed,M,25950,Urban,Married,66,27,1,0,2,Personal Auto,Personal L1,Offer4,Agent,271.7,Two-Door Car,Medsize,3
428,RX24650,Oregon,4772.94,Yes,Extended,High School or Below,2/18/11,Retired,M,20993,Suburban,Divorced,133,35,90,0,1,Corporate Auto,Corporate L3,Offer2,Agent,638.4,SUV,Medsize,1
429,DW19309,Oregon,14226.5,No,Premium,High School or Below,1/8/11,Employed,M,65726,Suburban,Married,177,35,90,0,7,Corporate Auto,Corporate L1,Offer1,Agent,849.6,SUV,Medsize,0
430,EG48956,Washington,4031.1,No,Basic,College,2/7/11,Unemployed,M,0,Suburban,Married,63,35,59,3,3,Personal Auto,Personal L2,Offer2,Call Center,639.46,Two-Door Car,Large,1
431,UF88986,Washington,2794.91,No,Basic,College,1/22/11,Employed,F,39783,Suburban,Single,72,28,43,0,1,Personal Auto,Personal L1,Offer1,Branch,345.6,Two-Door Car,Medsize,2
432,DB42794,California,4362.93,Yes,Premium,College,1/3/11,Employed,M,58842,Suburban,Married,110,6,74,0,1,Personal Auto,Personal L1,Offer2,Branch,528.0,Four-Door Car,Medsize,3
433,JB50798,Oregon,9624.52,No,Extended,Master,1/20/11,Employed,F,25629,Suburban,Single,124,3,70,2,6,Corporate Auto,Corporate L3,Offer2,Agent,595.2,Sports Car,Medsize,1
434,JY45873,Washington,5015.01,Yes,Extended,Bachelor,2/3/11,Employed,F,48567,Suburban,Single,130,12,15,0,1,Corporate Auto,Corporate L2,Offer2,Agent,624.0,SUV,Medsize,3
435,TE35785,California,6948.42,No,Basic,Doctor,2/7/11,Unemployed,M,0,Suburban,Married,196,0,73,2,1,Personal Auto,Personal L3,Offer1,Branch,1337.06,Luxury SUV,Large,0
436,CM55703,Washington,2896.92,No,Basic,College,2/9/11,Employed,F,33746,Suburban,Divorced,74,1,6,1,1,Personal Auto,Personal L3,Offer1,Agent,355.2,Two-Door Car,Medsize,2
437,QN65180,Oregon,21903.91,No,Extended,Bachelor,2/26/11,Employed,F,22254,Rural,Married,79,22,75,0,2,Personal Auto,Personal L1,Offer3,Call Center,125.19,Four-Door Car,Large,2
438,GE47180,Nevada,9028.82,No,Basic,High School or Below,2/14/11,Employed,M,65974,Rural,Married,113,3,43,0,3,Personal Auto,Personal L3,Offer3,Agent,235.22,Sports Car,Medsize,2
439,VQ38776,Oregon,5303.76,No,Extended,College,1/2/11,Unemployed,F,0,Suburban,Single,76,18,63,0,3,Personal Auto,Personal L3,Offer2,Agent,395.34,Four-Door Car,Large,1
440,ZY90118,Washington,4165.35,No,Premium,College,1/3/11,Medical Leave,M,17161,Suburban,Married,113,1,22,1,1,Corporate Auto,Corporate L1,Offer1,Call Center,542.4,Four-Door Car,Small,1
441,IN17648,Nevada,5123.77,No,Basic,High School or Below,2/27/11,Unemployed,M,0,Suburban,Single,74,1,62,0,7,Personal Auto,Personal L1,Offer1,Agent,772.8,Two-Door Car,Medsize,1
442,DF95759,Oregon,9492.34,No,Extended,College,1/15/11,Unemployed,M,0,Suburban,Married,132,9,85,0,6,Personal Auto,Personal L3,Offer2,Agent,633.6,SUV,Medsize,1
443,QG45324,Oregon,8204.86,No,Basic,High School or Below,1/2/11,Unemployed,F,0,Suburban,Married,73,9,14,0,2,Personal Auto,Personal L2,Offer1,Agent,350.4,Four-Door Car,Medsize,1
444,MN61620,Arizona,9877.3,No,Extended,College,1/31/11,Employed,F,67752,Rural,Single,131,4,40,4,9,Personal Auto,Personal L2,Offer1,Web,168.52,Sports Car,Small,2
445,YH86390,California,4815.01,No,Basic,Bachelor,1/16/11,Disabled,F,25398,Suburban,Divorced,64,30,80,0,6,Corporate Auto,Corporate L3,Offer2,Agent,307.2,Four-Door Car,Medsize,1
446,FY13480,California,6277.01,No,Extended,High School or Below,2/18/11,Unemployed,M,0,Suburban,Single,88,30,19,0,4,Personal Auto,Personal L3,Offer1,Web,633.6,Four-Door Car,Medsize,1
447,YH61661,California,8260.64,No,Basic,High School or Below,1/2/11,Employed,M,33321,Suburban,Married,105,6,2,0,3,Special Auto,Special L1,Offer2,Branch,504.0,SUV,Medsize,3
448,NL93182,Nevada,2549.45,No,Extended,Bachelor,1/20/11,Unemployed,M,0,Suburban,Single,78,13,32,0,1,Corporate Auto,Corporate L3,Offer2,Web,845.65,Four-Door Car,Small,1
449,UM45563,Washington,4502.68,No,Basic,Bachelor,1/27/11,Employed,M,68798,Rural,Single,114,19,69,0,1,Personal Auto,Personal L2,Offer2,Call Center,92.92,SUV,Medsize,3
450,WE68644,Oregon,3803.92,No,Basic,Bachelor,1/26/11,Medical Leave,F,20325,Suburban,Married,100,4,6,0,1,Personal Auto,Personal L3,Offer1,Branch,668.29,Sports Car,Medsize,1
451,EZ30498,Oregon,8635.4,No,Basic,Bachelor,2/15/11,Medical Leave,M,13129,Suburban,Married,117,15,93,0,6,Personal Auto,Personal L3,Offer1,Web,700.9,SUV,Medsize,1
452,QY74517,Oregon,5510.56,No,Basic,High School or Below,1/7/11,Unemployed,F,0,Suburban,Single,73,24,57,0,4,Personal Auto,Personal L3,Offer1,Branch,525.6,Four-Door Car,Large,1
453,NM88660,Nevada,3585.88,No,Extended,Master,1/10/11,Employed,M,49080,Rural,Single,91,14,68,0,1,Corporate Auto,Corporate L2,Offer1,Agent,25.3,Four-Door Car,Small,2
454,MZ82036,Nevada,4889.25,No,Basic,College,2/20/11,Employed,M,42536,Suburban,Divorced,63,30,57,0,6,Personal Auto,Personal L1,Offer2,Branch,375.33,Four-Door Car,Medsize,3
455,ID20929,Oregon,2756.94,No,Basic,Bachelor,1/18/11,Medical Leave,M,29926,Suburban,Divorced,74,25,34,0,1,Corporate Auto,Corporate L1,Offer1,Branch,418.23,Four-Door Car,Medsize,1
456,EY50028,Nevada,3289.55,No,Extended,Doctor,1/24/11,Unemployed,M,0,Urban,Married,86,5,55,0,1,Corporate Auto,Corporate L3,Offer2,Agent,398.24,Two-Door Car,Medsize,1
457,TT82373,California,10937.18,No,Extended,Bachelor,1/8/11,Employed,F,21450,Suburban,Married,138,15,35,0,4,Personal Auto,Personal L2,Offer1,Branch,938.51,Sports Car,Medsize,0
458,OH64088,California,7375.57,No,Basic,High School or Below,2/9/11,Employed,M,33345,Suburban,Single,65,32,52,0,2,Corporate Auto,Corporate L1,Offer1,Agent,338.62,Four-Door Car,Medsize,2
459,SK97780,California,10110.78,No,Extended,Bachelor,2/16/11,Medical Leave,F,15752,Urban,Married,90,27,37,0,2,Corporate Auto,Corporate L3,Offer1,Branch,339.34,Two-Door Car,Large,1
460,IO33050,Oregon,5119.41,No,Basic,High School or Below,1/10/11,Employed,F,40169,Urban,Divorced,65,1,47,1,3,Personal Auto,Personal L3,Offer1,Call Center,302.82,Four-Door Car,Medsize,2
461,XA55917,California,8533.83,No,Basic,College,2/28/11,Disabled,F,26049,Suburban,Married,113,10,15,1,9,Personal Auto,Personal L1,Offer1,Web,619.17,SUV,Medsize,1
462,JK32620,Nevada,2224.77,No,Basic,College,1/22/11,Unemployed,M,0,Suburban,Single,68,3,4,0,1,Personal Auto,Personal L3,Offer2,Web,326.4,Four-Door Car,Medsize,1
463,RQ19236,Arizona,8042.8,No,Basic,Doctor,1/5/11,Employed,M,55411,Urban,Married,100,24,53,0,4,Personal Auto,Personal L2,Offer2,Web,259.56,Sports Car,Medsize,3
464,QC47433,Oregon,2554.44,No,Basic,College,1/21/11,Medical Leave,M,12459,Suburban,Married,70,4,41,0,1,Personal Auto,Personal L2,Offer2,Branch,336.0,Four-Door Car,Small,3
465,RA93608,Oregon,18073.94,No,Extended,Bachelor,1/24/11,Employed,M,64620,Suburban,Married,76,24,32,1,2,Personal Auto,Personal L2,Offer1,Agent,364.8,Two-Door Car,Small,2
466,XH97711,California,2430.51,No,Basic,Bachelor,1/14/11,Employed,M,83140,Urban,Married,61,25,70,0,1,Corporate Auto,Corporate L3,Offer4,Agent,179.16,Four-Door Car,Medsize,3
467,AU96286,Oregon,3167.66,No,Extended,Bachelor,1/19/11,Unemployed,F,0,Suburban,Single,92,20,50,0,1,Corporate Auto,Corporate L1,Offer4,Web,662.4,Four-Door Car,Medsize,1
468,KC17170,Arizona,5465.6,No,Basic,Bachelor,1/31/11,Employed,F,54422,Rural,Married,68,9,8,0,5,Corporate Auto,Corporate L3,Offer1,Branch,75.5,Four-Door Car,Medsize,2
469,ZN47335,California,10357.51,No,Extended,College,2/16/11,Employed,M,68309,Rural,Divorced,131,4,67,0,9,Corporate Auto,Corporate L3,Offer1,Web,306.98,SUV,Small,2
470,EI46264,California,2537.81,No,Basic,High School or Below,1/12/11,Employed,M,56621,Rural,Married,65,27,36,2,1,Personal Auto,Personal L2,Offer2,Branch,84.03,Four-Door Car,Medsize,3
471,EK87864,Arizona,2821.95,No,Basic,College,1/6/11,Employed,F,38977,Rural,Married,70,27,22,0,1,Special Auto,Special L2,Offer1,Agent,139.49,Four-Door Car,Medsize,2
472,GV45403,Arizona,7757.13,No,Premium,Bachelor,1/23/11,Unemployed,M,0,Suburban,Divorced,111,32,13,0,3,Corporate Auto,Corporate L2,Offer1,Branch,607.45,Two-Door Car,Medsize,1
473,QK31192,Arizona,4079.13,No,Premium,High School or Below,2/18/11,Unemployed,M,0,Suburban,Married,114,12,43,0,1,Corporate Auto,Corporate L2,Offer4,Branch,631.12,Two-Door Car,Medsize,1
474,LU89008,Arizona,5955.54,No,Extended,College,2/7/11,Unemployed,F,0,Suburban,Single,83,35,87,0,8,Personal Auto,Personal L3,Offer1,Agent,628.02,Four-Door Car,Medsize,1
475,NS10490,Oregon,14158.61,No,Basic,Bachelor,2/26/11,Employed,F,83235,Suburban,Married,70,16,33,0,2,Personal Auto,Personal L3,Offer2,Agent,336.0,Two-Door Car,Medsize,3
476,KL98495,Nevada,8487.24,No,Basic,College,1/5/11,Unemployed,M,0,Suburban,Married,74,7,93,0,2,Personal Auto,Personal L2,Offer1,Agent,426.66,Two-Door Car,Medsize,1
477,IU96845,Arizona,6285.48,No,Extended,College,2/10/11,Employed,M,32390,Rural,Married,80,20,36,0,8,Personal Auto,Personal L3,Offer1,Call Center,91.42,Four-Door Car,Medsize,2
478,QL93655,Oregon,11473.48,No,Extended,High School or Below,1/12/11,Employed,F,66538,Urban,Married,95,14,64,0,2,Personal Auto,Personal L3,Offer2,Agent,317.84,Two-Door Car,Medsize,3
479,QZ42725,Washington,2310.88,No,Basic,Bachelor,1/1/11,Unemployed,F,0,Suburban,Single,64,12,24,0,1,Personal Auto,Personal L3,Offer2,Agent,460.8,Four-Door Car,Medsize,1
480,LZ34046,Oregon,23594.68,Yes,Basic,Bachelor,1/31/11,Employed,M,76358,Rural,Married,66,25,3,0,2,Personal Auto,Personal L1,Offer3,Agent,86.46,Four-Door Car,Medsize,3
481,ZH19885,Washington,2514.59,Yes,Basic,High School or Below,2/14/11,Employed,F,43860,Rural,Single,65,15,58,0,1,Personal Auto,Personal L3,Offer2,Agent,156.12,Four-Door Car,Medsize,3
482,YE88490,Arizona,5380.9,Yes,Basic,College,2/24/11,Employed,F,55350,Suburban,Married,67,0,13,0,9,Personal Auto,Personal L2,Offer1,Agent,321.6,Four-Door Car,Medsize,2
483,YC80498,California,4770.55,Yes,Basic,College,2/1/11,Medical Leave,F,12964,Suburban,Single,65,2,37,0,4,Personal Auto,Personal L1,Offer1,Web,362.77,Two-Door Car,Medsize,1
484,AI85843,Arizona,6756.65,No,Extended,Master,1/6/11,Employed,F,33288,Urban,Married,86,1,27,2,9,Personal Auto,Personal L3,Offer1,Branch,221.86,Four-Door Car,Medsize,2
485,XD66024,Arizona,5936.01,No,Extended,College,1/27/11,Unemployed,F,0,Suburban,Single,84,31,25,0,3,Personal Auto,Personal L3,Offer3,Call Center,980.17,Four-Door Car,Medsize,1
486,FY51713,Arizona,3570.76,No,Extended,Bachelor,1/7/11,Employed,F,56168,Suburban,Married,88,13,20,0,1,Personal Auto,Personal L1,Offer1,Branch,614.68,Four-Door Car,Small,2
487,PH26378,California,6019.96,No,Extended,College,1/31/11,Unemployed,M,0,Suburban,Single,92,3,28,0,4,Personal Auto,Personal L3,Offer1,Agent,662.4,Four-Door Car,Medsize,1
488,WQ18638,Oregon,5426.86,No,Basic,High School or Below,2/25/11,Employed,M,23105,Suburban,Married,69,15,21,0,3,Personal Auto,Personal L3,Offer2,Agent,331.2,Two-Door Car,Small,3
489,KY14688,Oregon,2730.31,No,Basic,Master,1/3/11,Employed,F,36218,Rural,Married,68,6,83,0,1,Personal Auto,Personal L1,Offer3,Branch,145.25,Four-Door Car,Large,2
490,TC97762,California,4982.68,No,Basic,High School or Below,2/27/11,Employed,F,52275,Suburban,Married,62,6,88,0,5,Corporate Auto,Corporate L3,Offer3,Branch,374.24,Four-Door Car,Medsize,2
491,QC87108,Oregon,8769.27,No,Basic,College,1/19/11,Employed,F,49665,Suburban,Single,74,5,51,0,2,Personal Auto,Personal L3,Offer3,Web,355.2,Four-Door Car,Large,2
492,CX12134,Nevada,4220.61,No,Premium,High School or Below,1/31/11,Employed,M,32471,Suburban,Single,110,0,87,0,1,Personal Auto,Personal L2,Offer2,Agent,528.0,Two-Door Car,Medsize,3
493,SM73248,Arizona,11537.51,No,Extended,High School or Below,1/21/11,Unemployed,M,0,Suburban,Single,86,12,89,1,2,Corporate Auto,Corporate L1,Offer1,Agent,619.2,Two-Door Car,Medsize,1
494,CK19789,California,5887.18,No,Basic,Master,2/14/11,Employed,F,62773,Rural,Married,73,19,57,0,9,Personal Auto,Personal L3,Offer4,Branch,80.67,Four-Door Car,Medsize,3
495,UV12583,California,4700.58,No,Basic,College,2/18/11,Employed,F,76694,Suburban,Married,117,34,23,0,1,Personal Auto,Personal L1,Offer4,Agent,561.6,SUV,Medsize,3
496,JC11405,Oregon,10963.96,Yes,Premium,High School or Below,2/8/11,Employed,M,55687,Suburban,Divorced,276,33,91,0,1,Personal Auto,Personal L3,Offer1,Agent,1324.8,Luxury SUV,Medsize,0
497,KA89683,Arizona,2523.17,No,Basic,High School or Below,1/30/11,Unemployed,F,0,Suburban,Single,70,20,81,0,1,Personal Auto,Personal L1,Offer1,Branch,504.0,Four-Door Car,Small,1
498,BG85305,Nevada,3757.8,No,Extended,Doctor,1/28/11,Employed,M,36633,Suburban,Single,96,20,61,1,1,Personal Auto,Personal L2,Offer2,Call Center,460.8,Four-Door Car,Medsize,3
499,UQ87917,Oregon,12941.73,No,Basic,High School or Below,1/24/11,Employed,M,77060,Urban,Married,106,23,90,0,2,Personal Auto,Personal L2,Offer1,Branch,468.57,SUV,Medsize,2
500,XN11823,Nevada,3764.47,No,Extended,Bachelor,2/17/11,Employed,F,92600,Suburban,Single,94,9,48,0,1,Corporate Auto,Corporate L2,Offer3,Web,842.44,Two-Door Car,Small,3
501,OS46571,California,6889.56,No,Basic,High School or Below,2/4/11,Unemployed,M,0,Suburban,Single,66,2,75,0,2,Personal Auto,Personal L3,Offer1,Branch,475.2,Four-Door Car,Small,1
502,PX17116,Nevada,3623.45,No,Basic,College,1/20/11,Unemployed,M,0,Suburban,Single,111,6,24,2,1,Corporate Auto,Corporate L2,Offer1,Agent,1171.93,SUV,Medsize,1
503,RP19541,Arizona,7582.11,Yes,Basic,College,2/3/11,Employed,M,64801,Urban,Married,64,23,19,0,2,Personal Auto,Personal L3,Offer2,Web,268.47,Four-Door Car,Medsize,3
504,ZR25747,Oregon,8277.75,No,Premium,College,2/6/11,Employed,F,45257,Suburban,Married,103,33,90,0,4,Corporate Auto,Corporate L1,Offer3,Call Center,494.4,Two-Door Car,Medsize,2
505,NQ86532,California,2576.46,No,Basic,High School or Below,1/22/11,Medical Leave,M,26854,Suburban,Married,66,31,70,0,1,Personal Auto,Personal L3,Offer1,Agent,475.2,Four-Door Car,Small,1
506,JY27336,Oregon,8205.39,No,Basic,College,2/22/11,Employed,F,85840,Rural,Married,102,14,79,2,4,Corporate Auto,Corporate L3,Offer2,Agent,138.72,SUV,Medsize,2
507,PB54378,Oregon,19582.47,No,Basic,Doctor,1/29/11,Medical Leave,F,26463,Suburban,Married,72,28,93,0,2,Corporate Auto,Corporate L2,Offer1,Branch,345.6,Four-Door Car,Medsize,2
508,SV38190,Nevada,6481.53,No,Extended,Bachelor,1/13/11,Employed,F,30689,Suburban,Married,81,23,51,0,5,Personal Auto,Personal L2,Offer4,Branch,467.25,Four-Door Car,Medsize,3
509,CV24005,Oregon,2599.31,No,Basic,High School or Below,2/13/11,Employed,M,29590,Suburban,Married,66,17,18,0,1,Corporate Auto,Corporate L3,Offer2,Agent,467.5,Two-Door Car,Small,3
510,EX28656,Oregon,9830.34,No,Premium,College,2/10/11,Employed,F,25965,Suburban,Divorced,253,15,59,0,1,Personal Auto,Personal L1,Offer2,Agent,1214.4,Luxury SUV,Medsize,0
511,CF57022,Oregon,10442.65,No,Extended,Bachelor,1/26/11,Medical Leave,M,17269,Suburban,Married,139,3,31,0,5,Personal Auto,Personal L1,Offer1,Branch,667.2,SUV,Small,1
512,GM16780,Oregon,36057.54,No,Extended,College,2/7/11,Employed,M,90330,Rural,Single,137,0,86,3,2,Corporate Auto,Corporate L3,Offer1,Call Center,192.09,Sports Car,Medsize,0
513,BX94438,California,8470.04,No,Basic,High School or Below,1/7/11,Unemployed,F,0,Suburban,Married,113,34,5,0,8,Corporate Auto,Corporate L2,Offer1,Call Center,619.97,SUV,Medsize,1
514,RM41745,California,8278.79,No,Premium,High School or Below,1/18/11,Unemployed,F,0,Suburban,Married,110,20,66,0,7,Personal Auto,Personal L3,Offer1,Agent,1002.78,Four-Door Car,Medsize,1
515,XR70252,California,4788.93,No,Basic,High School or Below,2/22/11,Unemployed,F,0,Suburban,Married,67,2,49,1,3,Personal Auto,Personal L2,Offer2,Web,321.6,Two-Door Car,Medsize,1
516,YH92099,Arizona,3088.0,No,Extended,Bachelor,1/16/11,Disabled,F,18558,Suburban,Married,80,17,23,0,1,Special Auto,Special L1,Offer1,Agent,384.0,Four-Door Car,Medsize,1
517,SG81493,Arizona,4443.74,No,Premium,Bachelor,1/1/11,Employed,M,46384,Rural,Married,113,33,93,0,1,Corporate Auto,Corporate L1,Offer2,Web,251.77,Four-Door Car,Medsize,3
518,ZX23819,Oregon,7984.09,No,Basic,High School or Below,2/10/11,Unemployed,F,0,Suburban,Single,72,1,77,0,2,Personal Auto,Personal L3,Offer2,Call Center,866.21,Two-Door Car,Large,1
519,FJ54907,Oregon,7180.97,No,Basic,College,1/9/11,Employed,F,42303,Suburban,Married,180,24,66,0,1,Personal Auto,Personal L2,Offer2,Agent,1210.92,Luxury SUV,Medsize,0
520,CU26127,California,15656.03,No,Extended,Bachelor,2/2/11,Employed,F,71731,Urban,Single,130,12,50,0,2,Corporate Auto,Corporate L2,Offer1,Branch,599.65,SUV,Medsize,2
521,YH60476,Oregon,5780.18,Yes,Basic,High School or Below,2/26/11,Employed,M,51066,Suburban,Single,74,23,0,0,8,Corporate Auto,Corporate L3,Offer2,Call Center,787.99,Four-Door Car,Medsize,3
522,ZZ97035,California,20714.94,No,Extended,College,2/1/11,Unemployed,M,0,Suburban,Single,203,20,66,0,2,Corporate Auto,Corporate L1,Offer1,Branch,2027.72,Luxury Car,Small,0
523,GE82737,Nevada,5337.35,No,Extended,Bachelor,2/14/11,Unemployed,F,0,Suburban,Single,86,19,93,3,5,Personal Auto,Personal L3,Offer1,Agent,619.2,Four-Door Car,Small,1
524,KY21873,Arizona,5050.83,No,Basic,College,2/25/11,Unemployed,M,0,Rural,Married,69,16,45,0,6,Personal Auto,Personal L1,Offer3,Agent,72.85,Two-Door Car,Medsize,1
525,UA51318,Arizona,5116.62,No,Basic,High School or Below,2/17/11,Employed,F,26173,Suburban,Single,68,2,10,1,9,Corporate Auto,Corporate L1,Offer2,Web,449.82,Four-Door Car,Medsize,3
526,BV55014,Oregon,7268.74,No,Basic,Bachelor,2/8/11,Employed,M,24445,Suburban,Single,63,18,15,0,2,Personal Auto,Personal L3,Offer1,Agent,302.4,Two-Door Car,Medsize,1
527,HX21307,Oregon,2616.61,Yes,Basic,College,2/25/11,Employed,M,72302,Suburban,Divorced,66,6,27,0,1,Personal Auto,Personal L3,Offer1,Agent,316.8,Two-Door Car,Medsize,2
528,LQ68252,Oregon,3738.44,No,Basic,High School or Below,2/11/11,Retired,M,27208,Suburban,Single,102,10,65,0,1,Personal Auto,Personal L2,Offer1,Web,489.6,SUV,Medsize,1
529,CR92802,California,2725.36,Yes,Basic,Master,1/3/11,Employed,F,36650,Rural,Married,69,2,70,1,1,Special Auto,Special L2,Offer2,Web,56.6,Four-Door Car,Large,3
530,SL35268,Arizona,5453.86,No,Basic,College,1/4/11,Employed,M,30855,Urban,Married,68,7,15,0,7,Corporate Auto,Corporate L3,Offer2,Web,259.06,Four-Door Car,Medsize,3
531,RD62882,Arizona,6846.15,Yes,Extended,Bachelor,1/27/11,Unemployed,F,0,Suburban,Divorced,95,13,20,0,5,Personal Auto,Personal L3,Offer1,Call Center,456.0,Two-Door Car,Large,1
532,JS42382,Oregon,6172.91,No,Extended,Master,1/27/11,Employed,M,99960,Suburban,Married,76,19,83,0,4,Corporate Auto,Corporate L3,Offer1,Agent,364.8,Four-Door Car,Small,2
533,BT30554,Arizona,10346.32,No,Extended,Bachelor,2/13/11,Unemployed,F,0,Suburban,Single,98,1,15,0,2,Personal Auto,Personal L3,Offer1,Agent,470.4,Four-Door Car,Large,1
534,VP57424,Nevada,6997.01,No,Extended,Bachelor,1/8/11,Employed,F,55873,Urban,Married,88,30,19,0,6,Personal Auto,Personal L2,Offer2,Agent,299.36,Four-Door Car,Small,3
535,VU19243,Arizona,4196.26,No,Premium,High School or Below,2/26/11,Medical Leave,F,18052,Suburban,Divorced,111,5,71,0,1,Personal Auto,Personal L1,Offer3,Web,699.17,Four-Door Car,Medsize,1
536,TA82973,Oregon,7858.11,No,Basic,High School or Below,2/1/11,Employed,F,28937,Rural,Divorced,104,28,23,2,6,Personal Auto,Personal L3,Offer1,Call Center,117.96,SUV,Medsize,2
537,GK71720,Oregon,6064.34,No,Extended,High School or Below,1/16/11,Unemployed,F,0,Suburban,Single,86,34,80,0,5,Personal Auto,Personal L3,Offer1,Call Center,545.24,Four-Door Car,Medsize,1
538,OQ61223,California,17497.52,Yes,Basic,College,2/28/11,Unemployed,M,0,Suburban,Divorced,73,9,94,0,2,Personal Auto,Personal L2,Offer1,Agent,350.4,Two-Door Car,Medsize,1
539,LL62746,Oregon,8970.65,No,Basic,Doctor,2/6/11,Medical Leave,M,12829,Urban,Married,118,33,1,0,9,Personal Auto,Personal L1,Offer2,Call Center,328.23,SUV,Medsize,3
540,JQ56711,Oregon,5923.12,No,Basic,Master,2/2/11,Employed,F,92163,Rural,Married,73,3,79,0,6,Personal Auto,Personal L3,Offer3,Web,66.57,Two-Door Car,Medsize,2
541,AW77988,Oregon,35850.6,No,Basic,High School or Below,1/6/11,Disabled,M,17588,Suburban,Single,192,24,92,0,2,Personal Auto,Personal L1,Offer1,Web,1382.4,Luxury Car,Medsize,0
542,HF75891,Washington,4331.46,No,Basic,High School or Below,2/11/11,Employed,F,82302,Suburban,Married,106,11,92,0,1,Personal Auto,Personal L2,Offer1,Branch,722.18,SUV,Medsize,2
543,MY97912,Arizona,13309.34,No,Extended,College,1/13/11,Unemployed,M,0,Suburban,Divorced,127,19,40,0,2,Personal Auto,Personal L3,Offer1,Call Center,609.6,SUV,Medsize,1
544,IB87349,California,4528.5,No,Premium,High School or Below,2/25/11,Employed,M,70340,Suburban,Married,113,5,56,0,1,Special Auto,Special L2,Offer1,Agent,542.4,Four-Door Car,Small,2
545,AW73065,Oregon,2791.91,No,Basic,High School or Below,2/6/11,Unemployed,F,0,Suburban,Single,74,35,59,0,1,Personal Auto,Personal L1,Offer1,Agent,532.8,Four-Door Car,Small,1
546,HI74419,Washington,8092.88,Yes,Basic,College,2/5/11,Employed,M,50825,Urban,Married,102,3,46,0,3,Personal Auto,Personal L2,Offer1,Agent,369.61,SUV,Medsize,2
547,PX70175,Arizona,7996.01,No,Extended,College,1/19/11,Employed,M,93459,Suburban,Married,99,9,85,0,5,Personal Auto,Personal L3,Offer2,Web,655.41,Four-Door Car,Medsize,3
548,KF75098,Arizona,5129.74,No,Basic,Bachelor,1/25/11,Employed,M,86148,Suburban,Married,65,19,51,2,4,Personal Auto,Personal L3,Offer4,Agent,312.0,Four-Door Car,Small,3
